Year,"Total_LA_Intake_g_per_capita_day","LA_Intake_percent_calories",Plant_Fat_Ratio,Total_Calorie_Supply,Total_Fat_Supply_g,Total_Carb_Supply_g,Total_Protein_Supply_g,Population,"Diabetes_Prevalence_Rate_AgeStandardised","Diabetes_Treatment_Rate_AgeStandardised","Obesity_Prevalence_AgeStandardised",BMI_AgeStandardised,"Total_Cholesterol_AgeStandardised","NonHDL_Cholesterol_AgeStandardised","Dementia_Prevalence_Number","Dementia_Mortality_Rate_ASMR",CVD_Mortality_Rate_ASMR,LA_perc_kcal_lag5,LA_perc_kcal_lag10,LA_perc_kcal_lag15,LA_perc_kcal_lag20
1961,91.97447393063584,29.83730068254547,0.1343387934478625,2774.28,100.12,387.66,80.64,,,,,,,,,,,,,,
1962,92.00015,29.57612446241552,0.1271429987117233,2799.56,100.91,389.0625,83.78,,,,,,,,,,,,,,
1963,94.01191196531792,29.439851068811674,0.1603194701470732,2874.02,102.67,402.1875,85.31,,,,,,,,,,,,,,
1964,94.66932791907514,29.89725568002682,0.1748430141287284,2849.84,101.92,397.18000000000006,85.96000000000001,,,,,,,,,,,,,,
1965,93.36395,30.03419021849857,0.1855649773220272,2797.73,101.42,388.0075000000001,83.22999999999999,,,,,,,,,,,,,,
1966,94.23665,29.680107573917695,0.206899941026145,2857.57,101.74,400.3975,85.08,,,,,,,,,,,29.83730068254547,,,
1967,93.50565,29.849955839632248,0.1887332280978689,2819.27,101.36,395.5675,81.19,,,,,,,,,,,29.57612446241552,,,
1968,93.34995,29.63302330010793,0.1965870307167235,2835.18,102.55,396.3175,81.74000000000001,,,,,,,,,,,29.439851068811674,,,
1969,95.47505,30.069303448637868,0.2043266939864671,2857.65,104.93,395.9,82.42,,,,,,,,,,,29.89725568002682,,,
1970,100.95605,31.02977115399721,0.2699694848321666,2928.17,111.42,399.4075,81.94,,,,,,,,,,,30.03419021849857,,,
1971,99.8035,30.721477944722437,0.2483141971933661,2923.79,109.74,399.5025,84.53,,,,,,,,,,,29.680107573917695,29.83730068254547,,
1972,107.66084387283236,32.370547384341414,0.2868118878757177,2993.2999999999997,118.44,396.2349999999999,85.6,,,,,,,,,,,29.849955839632248,29.57612446241552,,
1973,105.29575,32.85085484307078,0.3141042373618724,2884.74,114.93,380.6125,81.98,,,,,,,,,,,29.63302330010793,29.439851068811674,,
1974,99.5532,31.657007988637133,0.3422714377230713,2830.27,109.27,383.85,77.86,,,,,,,,,,,30.069303448637868,29.89725568002682,,
1975,104.34805,32.335040525000174,0.3489432605454705,2904.38,114.03,380.6375000000001,88.89,,,,,,,,,,,31.02977115399721,30.03419021849857,,
1976,102.7382,31.529937700121742,0.3397010701335455,2932.5899999999997,113.07,388.56999999999994,90.17,,,,,,,,,,,30.721477944722437,29.680107573917695,29.83730068254547,
